ID,InvestorID,Date,Type,Amount,NAV,UnitsChange
1,1,2024-01-16 00:00:00.000000,Nạp,100000000.0,100000000.0,100000.0
2,0,2024-03-31 00:00:00.000000,NAV Update,0.0,110000000.0,0.0
3,0,2024-06-29 00:00:00.000000,NAV Update,0.0,125000000.0,0.0
4,0,2024-09-27 00:00:00.000000,NAV Update,0.0,130000000.0,0.0
5,2,2024-06-29 00:00:00.000000,Nạp,50000000.0,175000000.0,40000.0
6,3,2024-08-28 00:00:00.000000,Nạp,75000000.0,250000000.0,60000.0
7,0,2024-12-31 15:00:00.000000,NAV Update,0.0,300000000.0,0.0
9,1,2024-12-31 00:00:00.000000,Phí,-8851513.87,300000000.0,-5901.0092466666665
11,2,2024-12-31 00:00:00.000000,Phí,-1700468.23,300000000.0,-1133.6454866666666
13,3,2024-12-31 00:00:00.000000,Phí,-2697875.91,300000000.0,-1798.5839400000002
14,0,2025-01-06 00:00:00.000000,NAV Update,0.0,300000000.0,0.0
15,4,2025-01-31 00:00:00.000000,Nạp,30000000.0,330000000.0,20000.0
16,0,2025-04-01 00:00:00.000000,NAV Update,0.0,340000000.0,0.0
17,0,2025-05-01 00:00:00.000000,NAV Update,0.0,355000000.0,0.0
18,0,2025-06-30 00:00:00.000000,NAV Update,0.0,370000000.0,0.0
20,2,2025-07-20 00:00:00.000000,Rút,-14655219.84549159,370000000.0,-8374.411340280909
21,2,2025-07-20 00:00:00.000000,Phí,-344780.15450841025,370000000.0,-197.017231147663
31,0,2025-08-20 21:50:50.185740,NAV Update,0.0,420000000.0,0.0
32,1,2025-08-20 00:00:00.000000,Nạp,50000000.0,450000000.0,26453.198582464887
