ID,InvestorID,Date,Type,Amount,NAV,UnitsChange
1,1,2024-01-16 00:00:00.000000,Nạp,100000000.0,100000000,100000.0
2,0,2024-03-31 00:00:00.000000,NAV Update,0.0,110000000,0.0
3,0,2024-06-29 00:00:00.000000,NAV Update,0.0,125000000,0.0
4,0,2024-09-27 00:00:00.000000,NAV Update,0.0,130000000,0.0
5,2,2024-06-29 00:00:00.000000,Nạp,50000000.0,175000000,40000.0
6,3,2024-08-28 00:00:00.000000,Nạp,75000000.0,250000000,60000.0
7,0,2024-12-31 15:00:00.000000,NAV Update,0.0,300000000,0.0
8,0,2025-01-06 00:00:00.000000,NAV Update,0.0,300000000,0.0
9,4,2025-01-31 00:00:00.000000,Nạp,30000000.0,330000000,20000.0
10,0,2025-04-01 00:00:00.000000,NAV Update,0.0,340000000,0.0
11,0,2025-05-01 00:00:00.000000,NAV Update,0.0,355000000,0.0
12,0,2025-06-30 00:00:00.000000,NAV Update,0.0,370000000,0.0
13,0,2025-08-29 00:00:00.000000,NAV Update,0.0,385000000,0.0
14,2,2025-07-20 00:00:00.000000,Rút,-15000000.0,370000000,-8571.42857142857
15,0,2025-12-31 15:00:00.000000,NAV Update,0.0,400000000,0.0
16,0,2025-08-20 21:44:01.226227,NAV Update,0.0,420000000,0.0
