ID,InvestorID,Date,Type,Amount,NAV,UnitsChange
1,1,2025-01-01 00:00:00.000000,Nạp,1670000000.0,1670000000.0,1670000.0
2,2,2025-04-09 00:00:00.000000,Nạp,50000000.0,1628158000.0,52909.78469836354
3,1,2025-05-02 00:00:00.000000,Nạp,50000000.0,1891353184.0,46783.79464812014
4,1,2025-08-03 00:00:00.000000,Nạp,50000000.0,2137284156.0,42392.253451917735
5,1,2025-08-20 00:00:00.000000,Rút,-976740482.1376666,1137284156.0,-828124.6015105656
6,1,2025-08-20 00:00:00.000000,Phí,-23259517.86233337,1137284156.0,-19720.46752778888
7,1,2025-08-21 00:00:00.000000,Nạp,500000000.0,1637284156.0,432592.5170489388
8,1,2025-08-22 00:00:00.000000,Nạp,500000000.0,2037284156.0,460732.566197337
9,1,2025-08-23 00:00:00.000000,Rút,-500000000.0,1037284156.0,-610585.3323235941
10,1,2025-08-20 21:39:05.260152,Nạp,1000000.0,2000000.0,1266700.9822105174
